,agent,md_learner,md_psy,md_teacher,n_learnt,n_learnt_end_ss,alpha,beta
0,0,exp_decay,,leitner,0,44,0.00017859637297609765,0.15796315789473683
1,1,exp_decay,,leitner,57,58,0.00017859637297609765,0.8946578947368421
2,2,exp_decay,,leitner,58,59,1.5095202653901002e-05,0.7894157894736843
3,3,exp_decay,,leitner,0,51,1.5095202653901002e-05,0.05272105263157895
4,4,exp_decay,,leitner,55,58,2.7996089263633432e-05,0.47368947368421055
5,5,exp_decay,,leitner,59,59,2.366266648695089e-06,0.8946578947368421
6,6,exp_decay,,leitner,56,57,2.366266648695089e-06,0.15796315789473683
7,7,exp_decay,,leitner,57,59,5.192252346839353e-05,0.8420368421052632
8,8,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.4210684210526316
9,9,exp_decay,,leitner,0,47,5.192252346839353e-05,0.1053421052631579
10,10,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.3158263157894737
11,11,exp_decay,,leitner,59,59,6.879341027591355e-07,0.7367947368421053
12,12,exp_decay,,leitner,58,58,6.879341027591355e-07,0.0001
13,13,exp_decay,,leitner,56,58,0.007268138009071234,0.8946578947368421
14,14,exp_decay,,leitner,0,32,0.007268138009071234,0.15796315789473683
15,15,exp_decay,,leitner,46,53,0.025000000000000005,0.7367947368421053
16,16,exp_decay,,leitner,0,2,0.025000000000000005,0.0001
17,17,exp_decay,,leitner,0,6,0.025000000000000005,0.05272105263157895
18,18,exp_decay,,leitner,49,55,0.025000000000000005,0.7894157894736843
19,19,exp_decay,,leitner,0,20,0.007268138009071234,0.1053421052631579
20,20,exp_decay,,leitner,54,57,0.007268138009071234,0.8420368421052632
21,21,exp_decay,,leitner,58,58,6.879341027591355e-07,0.05272105263157895
22,22,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.36844736842105263
23,23,exp_decay,,leitner,59,59,6.879341027591355e-07,0.7894157894736843
24,24,exp_decay,,leitner,0,49,5.192252346839353e-05,0.15796315789473683
25,25,exp_decay,,leitner,58,59,5.192252346839353e-05,0.8946578947368421
26,26,exp_decay,,leitner,59,59,1.2758665776086956e-06,0.47368947368421055
27,27,exp_decay,,leitner,53,57,2.366266648695089e-06,0.1053421052631579
28,28,exp_decay,,leitner,52,57,2.7996089263633432e-05,0.4210684210526316
29,29,exp_decay,,leitner,59,59,2.366266648695089e-06,0.8420368421052632
30,30,exp_decay,,leitner,0,48,1.5095202653901002e-05,0.0001
31,31,exp_decay,,leitner,58,59,1.5095202653901002e-05,0.7367947368421053
32,32,exp_decay,,leitner,57,58,0.00017859637297609765,0.8420368421052632
33,33,exp_decay,,leitner,0,43,0.00017859637297609765,0.1053421052631579
34,34,exp_decay,,leitner,56,58,0.00017859637297609765,0.7367947368421053
35,35,exp_decay,,leitner,0,41,0.00017859637297609765,0.0001
36,36,exp_decay,,leitner,47,56,9.629732274171165e-05,0.4210684210526316
37,37,exp_decay,,leitner,0,53,1.5095202653901002e-05,0.1053421052631579
38,38,exp_decay,,leitner,58,59,1.5095202653901002e-05,0.8420368421052632
39,39,exp_decay,,leitner,0,56,2.366266648695089e-06,0.0001
40,40,exp_decay,,leitner,59,59,2.366266648695089e-06,0.7367947368421053
41,41,exp_decay,,leitner,0,44,5.192252346839353e-05,0.05272105263157895
42,42,exp_decay,,leitner,57,59,5.192252346839353e-05,0.7894157894736843
43,43,exp_decay,,leitner,58,58,6.879341027591355e-07,0.15796315789473683
44,44,exp_decay,,leitner,59,59,6.879341027591355e-07,0.8946578947368421
45,45,exp_decay,,leitner,59,59,2.0000000000000002e-07,0.2632052631578947
46,46,exp_decay,,leitner,0,4,0.007268138009071234,0.0001
47,47,exp_decay,,leitner,49,56,0.007268138009071234,0.7367947368421053
48,48,exp_decay,,leitner,0,43,0.013479742216629382,0.4210684210526316
49,49,exp_decay,,leitner,0,20,0.025000000000000005,0.15796315789473683
50,50,exp_decay,,leitner,55,57,0.025000000000000005,0.8946578947368421
51,51,exp_decay,,leitner,51,56,0.025000000000000005,0.8420368421052632
