,agent,md_learner,md_psy,md_teacher,n_learnt,n_learnt_end_ss,tau,s,b,m,c,x
0,0,Walsh2018,,Leitner,0,0,0.5649154819548765,0.07777777777777778,0.13333333333333333,0.022222222222222223,0.1,0.6
1,1,Walsh2018,,Leitner,0,0,0.7211247851537042,0.07777777777777778,0.13333333333333333,0.044444444444444446,0.1,0.6
2,2,Walsh2018,,Leitner,0,0,0.6382590035046208,0.05555555555555556,0.13333333333333333,0.13333333333333333,0.1,0.6
3,3,Walsh2018,,Leitner,0,0,1.040041911525952,0.05555555555555556,0.17777777777777778,0.044444444444444446,0.1,0.6
4,4,Walsh2018,,Leitner,13,13,1.1750715554059086,0.07777777777777778,0.0,0.0,0.1,0.6
5,5,Walsh2018,,Leitner,55,54,0.5,0.1,0.0,0.022222222222222223,0.1,0.6
6,6,Walsh2018,,Leitner,0,1,1.040041911525952,0.011111111111111112,0.0,0.11111111111111112,0.1,0.6
7,7,Walsh2018,,Leitner,0,0,0.7211247851537042,0.022222222222222223,0.11111111111111112,0.2,0.1,0.6
8,8,Walsh2018,,Leitner,0,0,0.6382590035046208,0.07777777777777778,0.2,0.15555555555555556,0.1,0.6
9,9,Walsh2018,,Leitner,0,0,1.3276322281071904,0.0,0.15555555555555556,0.15555555555555556,0.1,0.6
10,10,Walsh2018,,Leitner,0,0,0.5,0.1,0.06666666666666667,0.08888888888888889,0.1,0.6
11,11,Walsh2018,,Leitner,0,0,1.3276322281071904,0.05555555555555556,0.06666666666666667,0.13333333333333333,0.1,0.6
12,12,Walsh2018,,Leitner,0,0,0.5649154819548765,0.08888888888888889,0.2,0.11111111111111112,0.1,0.6
13,13,Walsh2018,,Leitner,0,0,0.5649154819548765,0.06666666666666667,0.13333333333333333,0.11111111111111112,0.1,0.6
14,14,Walsh2018,,Leitner,0,0,1.3276322281071904,0.0,0.06666666666666667,0.08888888888888889,0.1,0.6
15,15,Walsh2018,,Leitner,0,0,0.7211247851537042,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.1,0.6
16,16,Walsh2018,,Leitner,0,0,1.1750715554059086,0.03333333333333333,0.2,0.15555555555555556,0.1,0.6
17,17,Walsh2018,,Leitner,0,0,1.1750715554059086,0.08888888888888889,0.17777777777777778,0.044444444444444446,0.1,0.6
18,18,Walsh2018,,Leitner,0,0,1.040041911525952,0.07777777777777778,0.13333333333333333,0.022222222222222223,0.1,0.6
19,19,Walsh2018,,Leitner,0,0,0.9205287735493741,0.044444444444444446,0.2,0.2,0.1,0.6
20,20,Walsh2018,,Leitner,0,3,0.9205287735493741,0.07777777777777778,0.022222222222222223,0.0,0.1,0.6
21,21,Walsh2018,,Leitner,0,0,1.040041911525952,0.1,0.15555555555555556,0.2,0.1,0.6
22,22,Walsh2018,,Leitner,0,0,1.3276322281071904,0.07777777777777778,0.17777777777777778,0.08888888888888889,0.1,0.6
23,23,Walsh2018,,Leitner,0,0,1.3276322281071904,0.08888888888888889,0.13333333333333333,0.11111111111111112,0.1,0.6
24,24,Walsh2018,,Leitner,0,0,1.040041911525952,0.011111111111111112,0.15555555555555556,0.0,0.1,0.6
25,25,Walsh2018,,Leitner,0,0,0.8147491111094232,0.07777777777777778,0.17777777777777778,0.044444444444444446,0.1,0.6
26,26,Walsh2018,,Leitner,58,58,0.7211247851537042,0.07777777777777778,0.0,0.0,0.1,0.6
27,27,Walsh2018,,Leitner,0,0,0.5649154819548765,0.07777777777777778,0.15555555555555556,0.022222222222222223,0.1,0.6
28,28,Walsh2018,,Leitner,0,0,0.5,0.022222222222222223,0.13333333333333333,0.0,0.1,0.6
29,29,Walsh2018,,Leitner,0,0,0.6382590035046208,0.022222222222222223,0.2,0.06666666666666667,0.1,0.6
30,30,Walsh2018,,Leitner,0,0,1.3276322281071904,0.05555555555555556,0.0,0.08888888888888889,0.1,0.6
31,31,Walsh2018,,Leitner,0,0,1.3276322281071904,0.0,0.13333333333333333,0.11111111111111112,0.1,0.6
32,32,Walsh2018,,Leitner,0,0,0.8147491111094232,0.022222222222222223,0.08888888888888889,0.0,0.1,0.6
33,33,Walsh2018,,Leitner,0,0,0.7211247851537042,0.022222222222222223,0.13333333333333333,0.022222222222222223,0.1,0.6
34,34,Walsh2018,,Leitner,6,5,0.5649154819548765,0.044444444444444446,0.0,0.11111111111111112,0.1,0.6
35,35,Walsh2018,,Leitner,0,0,0.5649154819548765,0.1,0.13333333333333333,0.044444444444444446,0.1,0.6
36,36,Walsh2018,,Leitner,0,0,0.5,0.011111111111111112,0.15555555555555556,0.08888888888888889,0.1,0.6
37,37,Walsh2018,,Leitner,15,14,0.5649154819548765,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.1,0.6
38,38,Walsh2018,,Leitner,13,12,0.5,0.0,0.022222222222222223,0.06666666666666667,0.1,0.6
39,39,Walsh2018,,Leitner,0,3,0.6382590035046208,0.1,0.022222222222222223,0.13333333333333333,0.1,0.6
40,40,Walsh2018,,Leitner,0,0,0.8147491111094232,0.07777777777777778,0.06666666666666667,0.08888888888888889,0.1,0.6
41,41,Walsh2018,,Leitner,29,28,0.5649154819548765,0.0,0.022222222222222223,0.022222222222222223,0.1,0.6
42,42,Walsh2018,,Leitner,0,0,0.9205287735493741,0.03333333333333333,0.044444444444444446,0.08888888888888889,0.1,0.6
43,43,Walsh2018,,Leitner,0,0,1.1750715554059086,0.022222222222222223,0.17777777777777778,0.044444444444444446,0.1,0.6
44,44,Walsh2018,,Leitner,55,54,0.5649154819548765,0.06666666666666667,0.0,0.022222222222222223,0.1,0.6
45,45,Walsh2018,,Leitner,0,0,0.6382590035046208,0.1,0.06666666666666667,0.0,0.1,0.6
46,46,Walsh2018,,Leitner,0,0,1.040041911525952,0.03333333333333333,0.0,0.13333333333333333,0.1,0.6
47,47,Walsh2018,,Leitner,4,3,0.6382590035046208,0.06666666666666667,0.022222222222222223,0.11111111111111112,0.1,0.6
48,48,Walsh2018,,Leitner,0,0,0.5649154819548765,0.1,0.08888888888888889,0.044444444444444446,0.1,0.6
49,49,Walsh2018,,Leitner,0,0,1.5,0.03333333333333333,0.17777777777777778,0.17777777777777778,0.1,0.6
50,50,Walsh2018,,Leitner,0,0,0.9205287735493741,0.1,0.022222222222222223,0.15555555555555556,0.1,0.6
51,51,Walsh2018,,Leitner,0,0,0.6382590035046208,0.011111111111111112,0.08888888888888889,0.08888888888888889,0.1,0.6
52,52,Walsh2018,,Leitner,0,13,0.7211247851537042,0.06666666666666667,0.044444444444444446,0.022222222222222223,0.1,0.6
53,53,Walsh2018,,Leitner,0,0,1.5,0.06666666666666667,0.022222222222222223,0.15555555555555556,0.1,0.6
54,54,Walsh2018,,Leitner,0,0,0.5,0.1,0.17777777777777778,0.2,0.1,0.6
55,55,Walsh2018,,Leitner,0,0,1.3276322281071904,0.044444444444444446,0.0,0.08888888888888889,0.1,0.6
56,56,Walsh2018,,Leitner,0,0,1.3276322281071904,0.07777777777777778,0.044444444444444446,0.11111111111111112,0.1,0.6
57,57,Walsh2018,,Leitner,0,0,0.8147491111094232,0.03333333333333333,0.044444444444444446,0.11111111111111112,0.1,0.6
58,58,Walsh2018,,Leitner,0,0,0.5649154819548765,0.03333333333333333,0.06666666666666667,0.2,0.1,0.6
59,59,Walsh2018,,Leitner,0,0,1.3276322281071904,0.1,0.15555555555555556,0.13333333333333333,0.1,0.6
60,60,Walsh2018,,Leitner,2,1,1.1750715554059086,0.06666666666666667,0.0,0.044444444444444446,0.1,0.6
61,61,Walsh2018,,Leitner,0,0,0.6382590035046208,0.05555555555555556,0.13333333333333333,0.022222222222222223,0.1,0.6
62,62,Walsh2018,,Leitner,0,0,1.1750715554059086,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.1,0.6
63,63,Walsh2018,,Leitner,0,0,0.5,0.08888888888888889,0.15555555555555556,0.15555555555555556,0.1,0.6
64,64,Walsh2018,,Leitner,0,0,1.3276322281071904,0.1,0.17777777777777778,0.0,0.1,0.6
65,65,Walsh2018,,Leitner,0,0,1.3276322281071904,0.06666666666666667,0.2,0.13333333333333333,0.1,0.6
66,66,Walsh2018,,Leitner,0,0,1.1750715554059086,0.08888888888888889,0.17777777777777778,0.15555555555555556,0.1,0.6
67,67,Walsh2018,,Leitner,0,0,1.5,0.011111111111111112,0.11111111111111112,0.0,0.1,0.6
68,68,Walsh2018,,Leitner,0,0,1.3276322281071904,0.06666666666666667,0.15555555555555556,0.044444444444444446,0.1,0.6
69,69,Walsh2018,,Leitner,0,2,0.7211247851537042,0.0,0.022222222222222223,0.13333333333333333,0.1,0.6
70,70,Walsh2018,,Leitner,0,0,1.040041911525952,0.1,0.044444444444444446,0.17777777777777778,0.1,0.6
71,71,Walsh2018,,Leitner,0,0,0.7211247851537042,0.0,0.15555555555555556,0.11111111111111112,0.1,0.6
72,72,Walsh2018,,Leitner,0,0,0.5649154819548765,0.044444444444444446,0.2,0.022222222222222223,0.1,0.6
73,73,Walsh2018,,Leitner,0,0,0.7211247851537042,0.03333333333333333,0.17777777777777778,0.11111111111111112,0.1,0.6
74,74,Walsh2018,,Leitner,0,3,0.6382590035046208,0.022222222222222223,0.044444444444444446,0.08888888888888889,0.1,0.6
75,75,Walsh2018,,Leitner,0,0,1.3276322281071904,0.05555555555555556,0.044444444444444446,0.11111111111111112,0.1,0.6
76,76,Walsh2018,,Leitner,0,0,1.5,0.06666666666666667,0.06666666666666667,0.17777777777777778,0.1,0.6
77,77,Walsh2018,,Leitner,0,0,0.7211247851537042,0.08888888888888889,0.2,0.06666666666666667,0.1,0.6
78,78,Walsh2018,,Leitner,0,0,1.3276322281071904,0.044444444444444446,0.13333333333333333,0.044444444444444446,0.1,0.6
