,user,domain,is_item_specific,n_ss_done,item,alpha,beta
6500,firefly@active.fi,active.fi,True,14,1404,0.0036008865141550924,0.4938218697291169
8604,ladybug@active.fi,active.fi,True,14,120,0.0153142543486718,0.717256448528412
8595,koi@active.fi,active.fi,True,14,90,0.0007960018252784183,0.5651438164085671
8596,koi@active.fi,active.fi,True,14,361,0.0007960018252784183,0.5651438164085671
8597,koi@active.fi,active.fi,True,14,1981,0.0007960018252784183,0.5651438164085671
8598,koi@active.fi,active.fi,True,14,1102,0.0007960018252784183,0.5651438164085671
8599,koi@active.fi,active.fi,True,14,1752,0.0007960018252784183,0.5651438164085671
8600,ladybug@active.fi,active.fi,True,14,1682,0.0148877059253372,0.845842538734473
8601,ladybug@active.fi,active.fi,True,14,1292,0.0161359274873147,0.607494836227355
8602,ladybug@active.fi,active.fi,True,14,1617,0.0159539444530342,0.354373138768353
8603,ladybug@active.fi,active.fi,True,14,1562,0.00947502493641603,0.290639854917947
8605,ladybug@active.fi,active.fi,True,14,1671,0.0011186852725399,0.637101455942364
8616,ladybug@active.fi,active.fi,True,14,937,0.000110339357983815,0.623400284400853
8606,ladybug@active.fi,active.fi,True,14,110,0.0166739438447266,0.433259144214738
8607,ladybug@active.fi,active.fi,True,14,489,0.00936362795316172,0.900875873044225
8608,ladybug@active.fi,active.fi,True,14,1676,0.0054258679115894,0.706099165726972
8609,ladybug@active.fi,active.fi,True,14,472,7.62283923925572e-06,0.177702156827883
8610,ladybug@active.fi,active.fi,True,14,1909,0.000551859565390987,0.34957275971289
8611,ladybug@active.fi,active.fi,True,14,1156,0.00866193876645317,0.930064939981719
8612,ladybug@active.fi,active.fi,True,14,1561,0.00862199330374707,0.929909153587466
8613,ladybug@active.fi,active.fi,True,14,494,0.0161342006006153,0.580258217427862
8614,ladybug@active.fi,active.fi,True,14,60,0.000983971172176537,0.63199822854877
8594,koi@active.fi,active.fi,True,14,1404,0.0007960018252784183,0.5651438164085671
8593,koi@active.fi,active.fi,True,14,907,0.0007960018252784183,0.5651438164085671
8592,koi@active.fi,active.fi,True,14,69,0.0007960018252784183,0.5651438164085671
8591,koi@active.fi,active.fi,True,14,552,0.0007960018252784183,0.5651438164085671
8572,koi@active.fi,active.fi,True,14,1715,0.0007960018252784183,0.5651438164085671
8573,koi@active.fi,active.fi,True,14,925,0.0007960018252784183,0.5651438164085671
8574,koi@active.fi,active.fi,True,14,1888,0.0007960018252784183,0.5651438164085671
8575,koi@active.fi,active.fi,True,14,462,0.0007960018252784183,0.5651438164085671
8576,koi@active.fi,active.fi,True,14,1455,0.0007960018252784183,0.5651438164085671
8577,koi@active.fi,active.fi,True,14,43,0.0007960018252784183,0.5651438164085671
8578,koi@active.fi,active.fi,True,14,386,0.0007960018252784183,0.5651438164085671
8579,koi@active.fi,active.fi,True,14,44,0.0007960018252784183,0.5651438164085671
8580,koi@active.fi,active.fi,True,14,1093,0.0007960018252784183,0.5651438164085671
8581,koi@active.fi,active.fi,True,14,722,0.0007960018252784183,0.5651438164085671
8582,koi@active.fi,active.fi,True,14,1012,0.0007960018252784183,0.5651438164085671
8583,koi@active.fi,active.fi,True,14,1278,0.0007960018252784183,0.5651438164085671
8584,koi@active.fi,active.fi,True,14,1142,0.0007960018252784183,0.5651438164085671
8585,koi@active.fi,active.fi,True,14,1705,0.0007960018252784183,0.5651438164085671
8586,koi@active.fi,active.fi,True,14,1368,0.0007960018252784183,0.5651438164085671
8587,koi@active.fi,active.fi,True,14,1289,0.0007960018252784183,0.5651438164085671
8588,koi@active.fi,active.fi,True,14,487,0.0007960018252784183,0.5651438164085671
8589,koi@active.fi,active.fi,True,14,1544,0.0007960018252784183,0.5651438164085671
8590,koi@active.fi,active.fi,True,14,427,0.0007960018252784183,0.5651438164085671
8615,ladybug@active.fi,active.fi,True,14,166,0.000112403234311933,0.623547471144877
8617,ladybug@active.fi,active.fi,True,14,1686,0.000108905752540553,0.623302539195835
8570,koi@active.fi,active.fi,True,14,1890,0.0007960018252784183,0.5651438164085671
8651,ladybug@active.fi,active.fi,True,14,793,0.005084021167983536,0.5106306438427644
8642,ladybug@active.fi,active.fi,True,14,881,0.005084021167983536,0.5106306438427644
8643,ladybug@active.fi,active.fi,True,14,1550,0.005084021167983536,0.5106306438427644
8644,ladybug@active.fi,active.fi,True,14,1202,0.005084021167983536,0.5106306438427644
8645,ladybug@active.fi,active.fi,True,14,1959,0.005084021167983536,0.5106306438427644
8646,ladybug@active.fi,active.fi,True,14,1216,0.005084021167983536,0.5106306438427644
8647,ladybug@active.fi,active.fi,True,14,1168,0.005084021167983536,0.5106306438427644
8648,ladybug@active.fi,active.fi,True,14,797,0.005084021167983536,0.5106306438427644
8649,ladybug@active.fi,active.fi,True,14,1805,0.005084021167983536,0.5106306438427644
8650,ladybug@active.fi,active.fi,True,14,906,0.005084021167983536,0.5106306438427644
8652,ladybug@active.fi,active.fi,True,14,99,0.005084021167983536,0.5106306438427644
8618,ladybug@active.fi,active.fi,True,14,1413,6.31021233997287e-06,0.149071213762118
8653,ladybug@active.fi,active.fi,True,14,1301,0.005084021167983536,0.5106306438427644
8654,ladybug@active.fi,active.fi,True,14,38,0.005084021167983536,0.5106306438427644
8655,ladybug@active.fi,active.fi,True,14,1439,0.005084021167983536,0.5106306438427644
8656,ladybug@active.fi,active.fi,True,14,763,0.005084021167983536,0.5106306438427644
8657,ladybug@active.fi,active.fi,True,14,1409,0.005084021167983536,0.5106306438427644
8658,ladybug@active.fi,active.fi,True,14,762,0.005084021167983536,0.5106306438427644
8659,ladybug@active.fi,active.fi,True,14,1904,0.005084021167983536,0.5106306438427644
8660,ladybug@active.fi,active.fi,True,14,1031,0.005084021167983536,0.5106306438427644
8661,ladybug@active.fi,active.fi,True,14,194,0.005084021167983536,0.5106306438427644
8641,ladybug@active.fi,active.fi,True,14,925,0.0031999198083125,0.500000000000001
8640,ladybug@active.fi,active.fi,True,14,1103,5.22830503947147e-05,0.558195593666538
8639,ladybug@active.fi,active.fi,True,14,1811,5.25183707002719e-05,0.55820533512935
8638,ladybug@active.fi,active.fi,True,14,824,0.0145016857262788,0.145553340870351
8619,ladybug@active.fi,active.fi,True,14,1767,0.00273225002291356,0.545895227983803
8620,ladybug@active.fi,active.fi,True,14,531,0.0014367388723964,0.706312101059557
8621,ladybug@active.fi,active.fi,True,14,296,4.68257047736377e-05,0.221446346596774
8622,ladybug@active.fi,active.fi,True,14,222,2.82209288442222e-05,0.112584402496976
8623,ladybug@active.fi,active.fi,True,14,1041,5.56070776785012e-05,0.600325251618666
8624,ladybug@active.fi,active.fi,True,14,106,1.1361754105348e-05,0.0558431724773154
8625,ladybug@active.fi,active.fi,True,14,1090,0.00694487093665849,0.31486050679952
8626,ladybug@active.fi,active.fi,True,14,1324,0.000938415152031314,0.746996821859469
8627,ladybug@active.fi,active.fi,True,14,820,0.00016150416476104,0.616858187871334
8628,ladybug@active.fi,active.fi,True,14,2017,0.00015749968402265,0.616681856363722
8629,ladybug@active.fi,active.fi,True,14,1336,0.000129112012597789,0.208916044783785
8630,ladybug@active.fi,active.fi,True,14,2054,0.016153288342302,0.638960059777005
8631,ladybug@active.fi,active.fi,True,14,580,0.0015919434822185,0.609278831622051
8632,ladybug@active.fi,active.fi,True,14,805,0.000141408977667559,0.618360631522269
8633,ladybug@active.fi,active.fi,True,14,1982,0.00623814461303315,0.0683306893067689
8634,ladybug@active.fi,active.fi,True,14,201,0.000130972121903393,0.603876410575245
8635,ladybug@active.fi,active.fi,True,14,1230,0.000154675816865848,0.60507437804261
8636,ladybug@active.fi,active.fi,True,14,418,0.00712680266401841,0.414514802301413
8637,ladybug@active.fi,active.fi,True,14,890,0.0118943128332403,0.267647627976477
8571,koi@active.fi,active.fi,True,14,828,0.0007960018252784183,0.5651438164085671
8569,koi@active.fi,active.fi,True,14,393,0.0007960018252784183,0.5651438164085671
8476,koi@active.fi,active.fi,True,14,364,2.89912022992479e-05,0.574768148394083
8510,koi@active.fi,active.fi,True,14,153,0.000668549140116142,0.499999999999999
8501,koi@active.fi,active.fi,True,14,226,3.46581711043857e-06,0.5
8502,koi@active.fi,active.fi,True,14,1748,3.46553589819151e-06,0.499999999999999
8503,koi@active.fi,active.fi,True,14,1894,3.46530459600394e-06,0.500000000000001
8504,koi@active.fi,active.fi,True,14,213,3.46521280401756e-06,0.499999999999999
8505,koi@active.fi,active.fi,True,14,1198,3.46460090918772e-06,0.5
8506,koi@active.fi,active.fi,True,14,51,3.46431904011837e-06,0.5
8507,koi@active.fi,active.fi,True,14,150,3.46417094831519e-06,0.5
8508,koi@active.fi,active.fi,True,14,1432,3.46409906819882e-06,0.500000000000001
8509,koi@active.fi,active.fi,True,14,1297,0.000697541351172695,0.5
8511,koi@active.fi,active.fi,True,14,1820,0.000654624988747582,0.5
8522,koi@active.fi,active.fi,True,14,286,0.0007960018252784183,0.5651438164085671
8512,koi@active.fi,active.fi,True,14,1676,0.000651601728457208,0.5
8513,koi@active.fi,active.fi,True,14,1943,0.000658673669169455,0.5
8514,koi@active.fi,active.fi,True,14,333,0.000663633352116911,0.499999999999999
8515,koi@active.fi,active.fi,True,14,215,0.000667063116265613,0.5
8516,koi@active.fi,active.fi,True,14,766,0.000658024415862537,0.499999999999999
8517,koi@active.fi,active.fi,True,14,960,0.000656765453785919,0.500000000000001
8518,koi@active.fi,active.fi,True,14,302,0.000651902503684388,0.5
8519,koi@active.fi,active.fi,True,14,1642,0.000652146856818124,0.499999999999999
8520,koi@active.fi,active.fi,True,14,867,0.0007960018252784183,0.5651438164085671
8500,koi@active.fi,active.fi,True,14,979,0.00113672693085083,0.546466311133321
8499,koi@active.fi,active.fi,True,14,1811,3.46747174326587e-06,0.5
8498,koi@active.fi,active.fi,True,14,932,3.46744569525489e-06,0.5
8497,koi@active.fi,active.fi,True,14,1089,0.00106781747407753,0.548002033318365
8478,koi@active.fi,active.fi,True,14,935,2.91469160653681e-05,0.574779177985833
8479,koi@active.fi,active.fi,True,14,1605,2.99160421087246e-05,0.574846633179669
8480,koi@active.fi,active.fi,True,14,691,3.03678674117432e-05,0.574882027677418
8481,koi@active.fi,active.fi,True,14,1710,2.9460661109775e-05,0.574807789465579
8482,koi@active.fi,active.fi,True,14,1852,2.95880383076463e-05,0.574818369176541
8483,koi@active.fi,active.fi,True,14,1607,2.98312379699816e-05,0.574838278166371
8484,koi@active.fi,active.fi,True,14,1614,2.91131099494782e-05,0.574773227150481
8485,koi@active.fi,active.fi,True,14,13,2.90918238367673e-05,0.574771320110727
8486,koi@active.fi,active.fi,True,14,601,0.0011365036342397,0.402389575923891
8487,koi@active.fi,active.fi,True,14,1525,2.40582313151935e-06,0.516006757506276
8488,koi@active.fi,active.fi,True,14,35,2.40543269252982e-06,0.515995710397833
8489,koi@active.fi,active.fi,True,14,38,2.40533058961973e-06,0.515997015146583
8490,koi@active.fi,active.fi,True,14,483,8.92154984192587e-06,0.347857514575248
8491,koi@active.fi,active.fi,True,14,1682,2.40603992210413e-06,0.515996220714216
8492,koi@active.fi,active.fi,True,14,504,0.007004885250534,0.525705633110505
8493,koi@active.fi,active.fi,True,14,1396,3.46888257895267e-06,0.5
8494,koi@active.fi,active.fi,True,14,460,3.46866023296342e-06,0.5
8495,koi@active.fi,active.fi,True,14,1828,3.46859029234724e-06,0.5
8496,koi@active.fi,active.fi,True,14,1441,3.46840452303754e-06,0.5
8521,koi@active.fi,active.fi,True,14,1569,0.0007960018252784183,0.5651438164085671
8523,koi@active.fi,active.fi,True,14,1868,0.0007960018252784183,0.5651438164085671
8568,koi@active.fi,active.fi,True,14,1195,0.0007960018252784183,0.5651438164085671
8557,koi@active.fi,active.fi,True,14,1746,0.0007960018252784183,0.5651438164085671
8548,koi@active.fi,active.fi,True,14,399,0.0007960018252784183,0.5651438164085671
8549,koi@active.fi,active.fi,True,14,1259,0.0007960018252784183,0.5651438164085671
8550,koi@active.fi,active.fi,True,14,880,0.0007960018252784183,0.5651438164085671
8551,koi@active.fi,active.fi,True,14,1579,0.0007960018252784183,0.5651438164085671
8552,koi@active.fi,active.fi,True,14,1048,0.0007960018252784183,0.5651438164085671
8553,koi@active.fi,active.fi,True,14,1494,0.0007960018252784183,0.5651438164085671
8554,koi@active.fi,active.fi,True,14,1594,0.0007960018252784183,0.5651438164085671
8555,koi@active.fi,active.fi,True,14,492,0.0007960018252784183,0.5651438164085671
8556,koi@active.fi,active.fi,True,14,291,0.0007960018252784183,0.5651438164085671
8558,koi@active.fi,active.fi,True,14,1978,0.0007960018252784183,0.5651438164085671
8524,koi@active.fi,active.fi,True,14,1375,0.0007960018252784183,0.5651438164085671
8559,koi@active.fi,active.fi,True,14,753,0.0007960018252784183,0.5651438164085671
8560,koi@active.fi,active.fi,True,14,2003,0.0007960018252784183,0.5651438164085671
8561,koi@active.fi,active.fi,True,14,1535,0.0007960018252784183,0.5651438164085671
8562,koi@active.fi,active.fi,True,14,1708,0.0007960018252784183,0.5651438164085671
8563,koi@active.fi,active.fi,True,14,1140,0.0007960018252784183,0.5651438164085671
8564,koi@active.fi,active.fi,True,14,1065,0.0007960018252784183,0.5651438164085671
8565,koi@active.fi,active.fi,True,14,961,0.0007960018252784183,0.5651438164085671
8566,koi@active.fi,active.fi,True,14,679,0.0007960018252784183,0.5651438164085671
8567,koi@active.fi,active.fi,True,14,937,0.0007960018252784183,0.5651438164085671
8547,koi@active.fi,active.fi,True,14,1497,0.0007960018252784183,0.5651438164085671
8546,koi@active.fi,active.fi,True,14,1400,0.0007960018252784183,0.5651438164085671
8545,koi@active.fi,active.fi,True,14,1135,0.0007960018252784183,0.5651438164085671
8544,koi@active.fi,active.fi,True,14,1712,0.0007960018252784183,0.5651438164085671
8525,koi@active.fi,active.fi,True,14,1036,0.0007960018252784183,0.5651438164085671
8526,koi@active.fi,active.fi,True,14,391,0.0007960018252784183,0.5651438164085671
8527,koi@active.fi,active.fi,True,14,1080,0.0007960018252784183,0.5651438164085671
8528,koi@active.fi,active.fi,True,14,47,0.0007960018252784183,0.5651438164085671
8529,koi@active.fi,active.fi,True,14,124,0.0007960018252784183,0.5651438164085671
8530,koi@active.fi,active.fi,True,14,1582,0.0007960018252784183,0.5651438164085671
8531,koi@active.fi,active.fi,True,14,1098,0.0007960018252784183,0.5651438164085671
8532,koi@active.fi,active.fi,True,14,46,0.0007960018252784183,0.5651438164085671
8533,koi@active.fi,active.fi,True,14,1464,0.0007960018252784183,0.5651438164085671
8534,koi@active.fi,active.fi,True,14,621,0.0007960018252784183,0.5651438164085671
8535,koi@active.fi,active.fi,True,14,1602,0.0007960018252784183,0.5651438164085671
8536,koi@active.fi,active.fi,True,14,707,0.0007960018252784183,0.5651438164085671
8537,koi@active.fi,active.fi,True,14,1493,0.0007960018252784183,0.5651438164085671
8538,koi@active.fi,active.fi,True,14,411,0.0007960018252784183,0.5651438164085671
8539,koi@active.fi,active.fi,True,14,896,0.0007960018252784183,0.5651438164085671
8540,koi@active.fi,active.fi,True,14,865,0.0007960018252784183,0.5651438164085671
8541,koi@active.fi,active.fi,True,14,242,0.0007960018252784183,0.5651438164085671
8542,koi@active.fi,active.fi,True,14,1462,0.0007960018252784183,0.5651438164085671
8543,koi@active.fi,active.fi,True,14,186,0.0007960018252784183,0.5651438164085671
8662,ladybug@active.fi,active.fi,True,14,1189,0.005084021167983536,0.5106306438427644
8663,ladybug@active.fi,active.fi,True,14,109,0.005084021167983536,0.5106306438427644
8664,ladybug@active.fi,active.fi,True,14,257,0.005084021167983536,0.5106306438427644
8791,ladybug@active.fi,active.fi,True,14,87,0.005084021167983536,0.5106306438427644
8782,ladybug@active.fi,active.fi,True,14,273,0.005084021167983536,0.5106306438427644
8783,ladybug@active.fi,active.fi,True,14,2015,0.005084021167983536,0.5106306438427644
8784,ladybug@active.fi,active.fi,True,14,1453,0.005084021167983536,0.5106306438427644
8785,ladybug@active.fi,active.fi,True,14,1944,0.005084021167983536,0.5106306438427644
8786,ladybug@active.fi,active.fi,True,14,317,0.005084021167983536,0.5106306438427644
8787,ladybug@active.fi,active.fi,True,14,1455,0.005084021167983536,0.5106306438427644
8788,ladybug@active.fi,active.fi,True,14,1331,0.005084021167983536,0.5106306438427644
8789,ladybug@active.fi,active.fi,True,14,1947,0.005084021167983536,0.5106306438427644
8790,ladybug@active.fi,active.fi,True,14,1931,0.005084021167983536,0.5106306438427644
8792,ladybug@active.fi,active.fi,True,14,1051,0.005084021167983536,0.5106306438427644
8803,lion@active.fi,active.fi,True,14,1082,9.74264661400744e-05,0.624547245831773
8793,ladybug@active.fi,active.fi,True,14,1634,0.005084021167983536,0.5106306438427644
8794,ladybug@active.fi,active.fi,True,14,868,0.005084021167983536,0.5106306438427644
8795,ladybug@active.fi,active.fi,True,14,1374,0.005084021167983536,0.5106306438427644
8796,ladybug@active.fi,active.fi,True,14,1269,0.005084021167983536,0.5106306438427644
8797,ladybug@active.fi,active.fi,True,14,46,0.005084021167983536,0.5106306438427644
8798,ladybug@active.fi,active.fi,True,14,336,0.005084021167983536,0.5106306438427644
8799,ladybug@active.fi,active.fi,True,14,1028,0.005084021167983536,0.5106306438427644
8800,lion@active.fi,active.fi,True,14,1938,0.000141334326849181,0.627268426634904
8801,lion@active.fi,active.fi,True,14,518,0.000114554260714209,0.625760837338386
8781,ladybug@active.fi,active.fi,True,14,1470,0.005084021167983536,0.5106306438427644
8780,ladybug@active.fi,active.fi,True,14,1553,0.005084021167983536,0.5106306438427644
8779,ladybug@active.fi,active.fi,True,14,332,0.005084021167983536,0.5106306438427644
8778,ladybug@active.fi,active.fi,True,14,90,0.005084021167983536,0.5106306438427644
8759,ladybug@active.fi,active.fi,True,14,1773,0.005084021167983536,0.5106306438427644
8760,ladybug@active.fi,active.fi,True,14,611,0.005084021167983536,0.5106306438427644
8761,ladybug@active.fi,active.fi,True,14,1728,0.005084021167983536,0.5106306438427644
8762,ladybug@active.fi,active.fi,True,14,1510,0.005084021167983536,0.5106306438427644
8763,ladybug@active.fi,active.fi,True,14,1356,0.005084021167983536,0.5106306438427644
8764,ladybug@active.fi,active.fi,True,14,883,0.005084021167983536,0.5106306438427644
8765,ladybug@active.fi,active.fi,True,14,429,0.005084021167983536,0.5106306438427644
8766,ladybug@active.fi,active.fi,True,14,83,0.005084021167983536,0.5106306438427644
8767,ladybug@active.fi,active.fi,True,14,67,0.005084021167983536,0.5106306438427644
8768,ladybug@active.fi,active.fi,True,14,154,0.005084021167983536,0.5106306438427644
8769,ladybug@active.fi,active.fi,True,14,1414,0.005084021167983536,0.5106306438427644
8770,ladybug@active.fi,active.fi,True,14,889,0.005084021167983536,0.5106306438427644
8771,ladybug@active.fi,active.fi,True,14,1759,0.005084021167983536,0.5106306438427644
8772,ladybug@active.fi,active.fi,True,14,685,0.005084021167983536,0.5106306438427644
8773,ladybug@active.fi,active.fi,True,14,920,0.005084021167983536,0.5106306438427644
8774,ladybug@active.fi,active.fi,True,14,1358,0.005084021167983536,0.5106306438427644
8775,ladybug@active.fi,active.fi,True,14,545,0.005084021167983536,0.5106306438427644
8776,ladybug@active.fi,active.fi,True,14,212,0.005084021167983536,0.5106306438427644
8777,ladybug@active.fi,active.fi,True,14,1582,0.005084021167983536,0.5106306438427644
8802,lion@active.fi,active.fi,True,14,100,0.00866008053559769,0.899408807636487
8804,lion@active.fi,active.fi,True,14,1226,9.82480541946087e-05,0.62460577221274
8665,ladybug@active.fi,active.fi,True,14,1448,0.005084021167983536,0.5106306438427644
8838,lion@active.fi,active.fi,True,14,668,9.09414085424921e-05,0.618986875790909
8829,lion@active.fi,active.fi,True,14,1322,2.21609076992418e-05,0.601104381346156
8830,lion@active.fi,active.fi,True,14,1000,2.25703702592135e-05,0.601169412309233
8831,lion@active.fi,active.fi,True,14,1442,2.28843122887192e-05,0.601217140396291
8832,lion@active.fi,active.fi,True,14,1996,2.29834908005733e-05,0.601231962006063
8833,lion@active.fi,active.fi,True,14,1108,2.18326190310555e-06,0.547409459806138
8834,lion@active.fi,active.fi,True,14,2055,0.000724717966265541,0.613206654353433
8835,lion@active.fi,active.fi,True,14,1720,0.000712628289417172,0.612491849299964
8836,lion@active.fi,active.fi,True,14,1516,8.65561041210175e-05,0.618602568897806
8837,lion@active.fi,active.fi,True,14,1728,9.22991746759414e-05,0.619108686270934
8839,lion@active.fi,active.fi,True,14,1392,9.07063424332983e-05,0.618969502337876
8805,lion@active.fi,active.fi,True,14,1722,9.70278516870571e-05,0.624472863094711
8840,lion@active.fi,active.fi,True,14,19,9.11967415274516e-05,0.619008920992972
8841,lion@active.fi,active.fi,True,14,2052,2.92214299205386e-05,0.595873174171251
8842,lion@active.fi,active.fi,True,14,87,2.95422371131292e-05,0.595910196528665
