,user,domain,teacher_md,is_item_specific,begin_with_active,first_ss_av_time,last_ss_av_time,n_ss_done,n_eval_leitner,n_recall_leitner,n_eval_act,n_recall_act
32,firefly@active.fi,active.fi,forward,True,True,2020-09-30 16:00:00+03:00,2020-10-06 16:06:40+03:00,14,63.0,54.0,40.0,33.0
48,mole@active.fi,active.fi,threshold,True,True,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,46.0,32.0,75.0,33.0
33,fish@active.fi,active.fi,threshold,True,False,2020-09-30 20:00:00+03:00,2020-10-06 20:06:40+03:00,14,62.0,55.0,126.0,109.0
34,fox@active.fi,active.fi,forward,True,True,2020-09-30 21:00:00+03:00,2020-10-06 21:06:40+03:00,14,56.0,48.0,66.0,47.0
36,goat@active.fi,active.fi,forward,True,False,2020-09-30 21:00:00+03:00,2020-10-06 21:06:40+03:00,14,57.0,48.0,28.0,19.0
37,goldfish@active.fi,active.fi,threshold,True,False,2020-09-30 20:00:00+03:00,2020-10-06 20:06:40+03:00,14,61.0,56.0,92.0,70.0
38,grasshopper@active.fi,active.fi,threshold,True,True,2020-09-30 13:00:00+03:00,2020-10-06 13:06:40+03:00,14,59.0,49.0,86.0,44.0
40,kangaroo@active.fi,active.fi,forward,True,True,2020-09-30 09:00:00+03:00,2020-10-06 09:06:40+03:00,14,58.0,47.0,43.0,40.0
42,koi@active.fi,active.fi,threshold,True,True,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,61.0,58.0,127.0,112.0
43,ladybug@active.fi,active.fi,forward,True,False,2020-09-30 16:00:00+03:00,2020-10-06 16:06:40+03:00,14,56.0,52.0,42.0,41.0
44,lion@active.fi,active.fi,forward,True,True,2020-09-30 08:00:00+03:00,2020-10-06 08:06:40+03:00,14,64.0,57.0,79.0,78.0
45,mackerel@active.fi,active.fi,threshold,True,False,2020-09-30 16:30:00+03:00,2020-10-06 16:36:40+03:00,14,62.0,59.0,124.0,115.0
46,mantis@active.fi,active.fi,forward,True,True,2020-09-30 18:00:00+03:00,2020-10-06 18:06:40+03:00,14,61.0,60.0,60.0,53.0
47,mockingbird@active.fi,active.fi,threshold,True,True,2020-09-30 16:00:00+03:00,2020-10-06 16:06:40+03:00,14,48.0,34.0,84.0,44.0
49,monkey@active.fi,active.fi,forward,True,False,2020-09-30 19:00:00+03:00,2020-10-06 19:06:40+03:00,14,53.0,47.0,61.0,56.0
30,eel@active.fi,active.fi,threshold,True,True,2020-09-30 19:00:00+03:00,2020-10-06 19:06:40+03:00,14,45.0,30.0,67.0,35.0
