,alligator@aalto.fi,ant@aalto.fi,armadillo@aalto.fi,bear@aalto.fi,bee@aalto.fi,butterfly@aalto.fi,cat@aalto.fi,caterpillar@aalto.fi,deer@aalto.fi,dog@aalto.fi,dove@aalto.fi,duck@aalto.fi,eagle@aalto.fi,elephant@aalto.fi,fox@aalto.fi,goose@aalto.fi,hamster@aalto.fi,hare@aalto.fi,horse@aalto.fi,ladybug@aalto.fi,mantis@aalto.fi,mouse@aalto.fi,owl@aalto.fi,panda@aalto.fi,peacock@aalto.fi,pig@aalto.fi,rabbit@aalto.fi,scorpion@aalto.fi,seagull@aalto.fi,seal@aalto.fi,sealion@aalto.fi,spider@aalto.fi,squirrel@aalto.fi,turtle@aalto.fi,vulture@aalto.fi
0,-733.9418332329669,-175.76542890552378,-3782.29192404323,-97.51133842147019,-4742.649550382235,-1574.0218358651066,-4962.133905078048,-68.41771240470842,-1583.1859489310318,-169.68130538297717,-116.98873910546641,-1945.7965325244793,-5372.079448389322,-52.55127367526964,-4536.671381952296,-233.79022137127265,-204.62710386311372,-5212.260290236912,-1704.3964547290657,-827.3110849579407,-302.2703405610744,-901.3929508186108,-3700.440215335134,-1704.6632139057124,-3337.822426891778,-628.754080777514,-5283.512421476408,-4485.031965284628,-3116.70012526815,-858.0131843381014,-2416.6268306252177,-200.767346157927,-3721.572703933569,-3757.720040210812,-1033.2420181624107
1,-772.174159659253,-182.44985552231003,-3924.3285711874105,-100.06988239859203,-4781.563283930733,-1643.9334843649299,-5057.930341803216,-69.290934120999,-1656.8786819949194,-175.15574085604123,-121.22636593814246,-1983.9091734348196,-5409.418791959629,-51.52424903538354,-4722.202667042924,-242.35622709279392,-213.42979531419047,-5247.426659102446,-1813.0089217668665,-863.6997751443737,-311.7249719061538,-940.0181270931157,-3743.9214423348,-1776.2177880791132,-3414.589621105052,-642.5138921432397,-5320.164807416626,-4559.438068782647,-3134.267126870783,-903.132244798974,-2488.3580827767173,-207.58785792128208,-3744.2873138367554,-3819.250108740679,-1072.8326336289547
2,-813.0957975729484,-190.0029202476169,-4074.860740343782,-103.25437403671636,-4823.007817783671,-1718.2847501541364,-5159.587729479428,-70.71697013276858,-1735.2700375763789,-181.42705330967044,-126.20350989525394,-2024.501042251724,-5449.179114212626,-50.920726592954104,-4918.768352945473,-251.89200836413013,-223.30966430094526,-5284.867475396696,-1928.2993463216046,-902.6623615234986,-322.1839510500873,-981.3041898869637,-3790.240120289887,-1852.2370643788631,-3496.071086695909,-657.5515721118188,-5359.199730358005,-4638.452810038808,-3153.110798821128,-951.3214774334355,-2564.622978037629,-215.24439969987344,-3768.5873250978266,-3884.6433324545055,-1115.1615239448104
3,-856.8311975434458,-198.36237231651444,-4234.749780439356,-106.97831299620279,-4867.165789706925,-1797.4435120182586,-5267.634855774648,-72.58753745499237,-1818.7116010660739,-188.42808911841684,-131.8343033468426,-2067.771673624233,-5491.550240654832,-50.63054115022937,-5127.46649442522,-262.3430307324216,-234.20151395408197,-5324.7606998001675,-2050.868950519248,-944.3201064242658,-333.61449221124417,-1025.384189969464,-3839.6127269152485,-1933.1020646518095,-3582.714485794163,-673.8519392380219,-5400.79627243763,-4722.492185783848,-3173.284885870658,-1002.7587994872524,-2645.8017509843426,-223.69503112737524,-3794.5515409226773,-3954.2322661865555,-1160.381533281802
4,-903.6135805088666,-207.50956459640608,-4405.115878739261,-111.19228249199448,-4914.310405308905,-1881.9167815560809,-5382.800126616468,-74.83244438399515,-1907.7352406766888,-196.1326915346624,-138.07819308796363,-2113.9960738884615,-5536.797428632587,-50.57508413171571,-5349.764942944759,-273.7062642843667,-246.0921028502293,-5367.354414669876,-2181.537688593582,-988.8939853220243,-346.02777146960034,-1072.5090508996348,-3892.3470331260987,-2019.3435262441499,-3675.1074731525982,-691.4540186184303,-5445.211798465074,-4812.116123537045,-3194.890364161705,-1057.736595310621,-2732.4170252172853,-232.9341363781897,-3822.3181150455725,-4028.473453551317,-1208.7445016135853
5,-953.7765699019525,-217.46383594653364,-4587.351949986696,-115.87676064986825,-4964.804482001316,-1972.3612841981594,-5506.009108301619,-77.41093928246366,-2003.0355691998805,-204.5496865490004,-144.92984581985252,-2163.5322457405264,-5585.267740296937,-50.699100127750945,-5587.489756961304,-286.02116300009334,-259.01395193262454,-5412.973715202463,-2321.34929123119,-1036.6999754648684,-359.47506631686934,-1123.024805560996,-3948.847495055512,-2111.643540257285,-3773.9923643722586,-710.4474389347055,-5492.786172723412,-4908.038437346187,-3218.0756355233934,-1116.658585426951,-2825.144624409403,-242.98920645393844,-3852.08444121702,-4107.953868557164,-1260.6009815809425
6,-1007.7622064715625,-228.28010878376506,-4783.182521302126,-121.03774708598944,-5019.112056988884,-2069.6097401367683,-5638.418484823069,-80.30583646969947,-2105.4925144446775,-213.72004724264585,-152.4143804511407,-2216.8362295802626,-5637.404178785637,-50.96469883434478,-5842.897683956815,-299.3668949361702,-273.04316392570047,-5462.034332484217,-2471.6111197106816,-1088.1575867721083,-374.0474515386455,-1177.3724199141966,-4009.630922260113,-2210.860709670413,-3880.2973088887384,-730.9733458044616,-5543.954495034785,-5011.155219538737,-3243.0410605442435,-1180.0518119368494,-2924.8404310327574,-253.92020255574508,-3884.112929422565,-4193.413371103166,-1316.4111943639814
7,-1066.1419920856508,-240.04976554338498,-4994.758919917644,-126.70490251692418,-5077.821839388713,-2174.7153221688004,-5781.478062664926,-83.51995172668205,-2216.217432486748,-223.71713606092425,-160.58620176017527,-2274.486631251879,-5693.769319784723,-51.34707677902709,-6118.79910298788,-313.8641734007781,-288.3013087613456,-5515.064909952297,-2633.9644645354083,-1143.8101356689967,-389.8792360706136,-1235.4573908389755,-4075.353746733911,-2318.075750590352,-3995.1867624233573,-753.2302126417736,-5599.269687102425,-5122.592870559189,-3270.048586144664,-1248.5926325376356,-3032.5859150583847,-265.8217278295233,-3918.743475844553,-4285.783926223492,-1376.7678519834567
8,-1129.652179094277,-252.9052884913215,-5224.779446101687,-132.93218823062142,-5141.685052219558,-2289.0205013418604,-5937.026069122204,-87.07462579828841,-2336.624491120235,-234.65033268453453,-169.5311055843961,-2337.222385222593,-5755.081971828036,-51.83157833255481,-6418.700993533799,-329.681736058143,-304.96200692186665,-5572.741418020181,-2810.4925804183076,-1204.3590561188335,-407.1558988571105,-1295.309973276533,-4146.854710628788,-2434.6622849887594,-4120.138172900588,-777.4857005873165,-5659.4381704005245,-5243.781585307904,-3299.438072371953,-1323.1497601985939,-3149.7587119898762,-278.828626457361,-3956.4145810479786,-4386.250494772981,-1442.4339127983258
9,-1199.2359432429105,-267.0298016856096,-5476.078187215067,-139.8013775661537,-5211.67388427323,-2414.262109592094,-6107.4309608200165,-91.01039106343696,-2468.5092143422626,-246.67294876116046,-179.37216939992365,-2406.0004378510594,-5822.273305207683,-52.411848518299514,-6745.388615263828,-347.0487196376737,-323.26370738381337,-5635.939846416235,-3003.8840931994046,-1270.7180912325975,-426.12815728743493,-1360.1451690492759,-4225.220353981519,-2562.3934159978207,-4257.057938118889,-804.0969204265914,-5725.374820191221,-5376.5616120291415,-3331.65331929792,-1404.8516014729908,-3278.140364655341,-293.12626416699857,-3997.696899726403,-4496.343806951745,-1514.4017533789533
